row,cid,primera,segunda ,tercera,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,smiles,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
11,70702140,-7.1,-7,-6.9,"Bisanilinopyrimidine, 6k","Bisanilinopyrimidine, 6k|BDBM92818",356.8,C17H13ClN4O3,107,456,3.8,25,4,7,5,"InChI=1S/C17H13ClN4O3/c18-11-3-1-2-4-12(11)20-15-7-8-19-17(22-15)21-13-6-5-10(16(24)25)9-14(13)23/h1-9,23H,(H,24,25)(H2,19,20,21,22)",C1=CC=C(C(=C1)NC2=NC(=NC=C2)NC3=C(C=C(C=C3)C(=O)O)O)Cl,KIRMRPKSCCDONI-UHFFFAOYSA-N,4-[[4-(2-chloroanilino)pyrimidin-2-yl]amino]-3-hydroxybenzoic acid,NULL,NULL,0,NULL,20130227,BindingDB,Curation Efforts|Research and Development,NULL
12,70702143,-6.3,-6.3,-6.2,"Bisanilinopyrimidine, 6o","Bisanilinopyrimidine, 6o|BDBM92822",340.8,C17H13ClN4O2,87.1,425,4.7,24,3,6,5,"InChI=1S/C17H13ClN4O2/c18-12-6-2-4-8-14(12)20-15-9-10-19-17(22-15)21-13-7-3-1-5-11(13)16(23)24/h1-10H,(H,23,24)(H2,19,20,21,22)",C1=CC=C(C(=C1)C(=O)O)NC2=NC=CC(=N2)NC3=CC=CC=C3Cl,PTPAZHBJYWLPAU-UHFFFAOYSA-N,2-[[4-(2-chloroanilino)pyrimidin-2-yl]amino]benzoic acid,NULL,NULL,0,NULL,20130227,BindingDB,Curation Efforts|Research and Development,NULL
13,70702147,-7.2,-6.7,-6.7,"Bisanilinopyrimidine, 6t","Bisanilinopyrimidine, 6t|BDBM92827",324.31,C17H13FN4O2,87.1,425,4.1,24,3,7,5,"InChI=1S/C17H13FN4O2/c18-12-6-2-4-8-14(12)20-15-9-10-19-17(22-15)21-13-7-3-1-5-11(13)16(23)24/h1-10H,(H,23,24)(H2,19,20,21,22)",C1=CC=C(C(=C1)C(=O)O)NC2=NC=CC(=N2)NC3=CC=CC=C3F,ZUTMQXWVTIJHLY-UHFFFAOYSA-N,2-[[4-(2-fluoroanilino)pyrimidin-2-yl]amino]benzoic acid,NULL,Classification,1,NULL,20130227,BindingDB,Curation Efforts|Research and Development,NULL
14,70790568,-7.8,-7.2,-7.1,"6-[(2-anilino-5-methylpyrimidin-4-yl)amino]-2,3-dihydro-1H-inden-1-ol",SCHEMBL12856354,332.4,C20H20N4O,70.1,428,3.9,25,3,5,4,"InChI=1S/C20H20N4O/c1-13-12-21-20(23-15-5-3-2-4-6-15)24-19(13)22-16-9-7-14-8-10-18(25)17(14)11-16/h2-7,9,11-12,18,25H,8,10H2,1H3,(H2,21,22,23,24)",CC1=CN=C(N=C1NC2=CC3=C(CCC3O)C=C2)NC4=CC=CC=C4,JNSULIFLANNFLV-UHFFFAOYSA-N,"6-[(2-anilino-5-methylpyrimidin-4-yl)amino]-2,3-dihydro-1H-inden-1-ol",NULL,Patents,1,NULL,20130321,SureChEMBL,Curation Efforts|Research and Development,NULL
15,70790751,-7.6,-7.5,-7.1,"7-[[2-[(1-ethyl-2,3-dihydroindol-6-yl)amino]pyrimidin-4-yl]amino]-3,4-dihydro-2H-chromene-8-sulfonamide",SCHEMBL12859632,466.6,C23H26N6O3S,131,764,4,33,3,9,6,"InChI=1S/C23H26N6O3S/c1-2-29-12-10-15-5-7-17(14-19(15)29)26-23-25-11-9-20(28-23)27-18-8-6-16-4-3-13-32-21(16)22(18)33(24,30)31/h5-9,11,14H,2-4,10,12-13H2,1H3,(H2,24,30,31)(H2,25,26,27,28)",CCN1CCC2=C1C=C(C=C2)NC3=NC=CC(=N3)NC4=C(C5=C(CCCO5)C=C4)S(=O)(=O)N,IIWTXIKGADRDEC-UHFFFAOYSA-N,"7-[[2-[(1-ethyl-2,3-dihydroindol-6-yl)amino]pyrimidin-4-yl]amino]-3,4-dihydro-2H-chromene-8-sulfonamide",NULL,Patents,1,NULL,20130321,SureChEMBL,Curation Efforts|Research and Development,NULL
16,70790906,-6.6,-6.4,-6.2,"2-N-(2-ethoxy-4-morpholin-4-ylphenyl)-5-fluoro-4-N-(2-methylphenyl)pyrimidine-2,4-diamine",SCHEMBL12862441,423.5,C23H26FN5O2,71.5,538,4.5,31,2,8,7,"InChI=1S/C23H26FN5O2/c1-3-31-21-14-17(29-10-12-30-13-11-29)8-9-20(21)27-23-25-15-18(24)22(28-23)26-19-7-5-4-6-16(19)2/h4-9,14-15H,3,10-13H2,1-2H3,(H2,25,26,27,28)",CCOC1=C(C=CC(=C1)N2CCOCC2)NC3=NC=C(C(=N3)NC4=CC=CC=C4C)F,JVSDJMZHSLKTGH-UHFFFAOYSA-N,"2-N-(2-ethoxy-4-morpholin-4-ylphenyl)-5-fluoro-4-N-(2-methylphenyl)pyrimidine-2,4-diamine",NULL,Classification|Patents,2,NULL,20130321,SureChEMBL,Curation Efforts|Research and Development,NULL
17,70791598,-8.3,-8.1,-7.8,6-[(4-anilino-5-fluoropyrimidin-2-yl)amino]-N-(2-morpholin-4-ylethyl)indole-1-carboxamide,SCHEMBL12872822,475.5,C25H26FN7O2,96.3,676,3.5,35,3,8,7,"InChI=1S/C25H26FN7O2/c26-21-17-28-24(31-23(21)29-19-4-2-1-3-5-19)30-20-7-6-18-8-10-33(22(18)16-20)25(34)27-9-11-32-12-14-35-15-13-32/h1-8,10,16-17H,9,11-15H2,(H,27,34)(H2,28,29,30,31)",C1COCCN1CCNC(=O)N2C=CC3=C2C=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5)F,PXTIIQBIRXAEHL-UHFFFAOYSA-N,6-[(4-anilino-5-fluoropyrimidin-2-yl)amino]-N-(2-morpholin-4-ylethyl)indole-1-carboxamide,NULL,Classification|Patents,2,NULL,20130321,Google Patents|IBM|SureChEMBL,Curation Efforts|Research and Development,NULL
18,70792683,-6.7,-6.6,-6.6,"N-(3-fluorophenyl)-2-[(4R)-5-(4-methylphenyl)-2,5-diazabicyclo[2.2.1]heptan-2-yl]-5-oxo-6,7-dihydrothieno[3,2-d]pyrimidin-4-amine",SCHEMBL12879554,449.5,C24H24FN5OS,80.6,706,4.5,32,1,8,4,"InChI=1S/C24H24FN5OS/c1-15-5-7-18(8-6-15)29-13-20-12-19(29)14-30(20)24-27-21-9-10-32(31)22(21)23(28-24)26-17-4-2-3-16(25)11-17/h2-8,11,19-20H,9-10,12-14H2,1H3,(H,26,27,28)/t19-,20?,32?/m1/s1",CC1=CC=C(C=C1)N2CC3C[C@@H]2CN3C4=NC5=C(C(=N4)NC6=CC(=CC=C6)F)S(=O)CC5,WLOKADJKDBRQTA-PSEOYMDPSA-N,"N-(3-fluorophenyl)-2-[(4R)-5-(4-methylphenyl)-2,5-diazabicyclo[2.2.1]heptan-2-yl]-5-oxo-6,7-dihydrothieno[3,2-d]pyrimidin-4-amine",NULL,Classification|Patents,2,NULL,20130321,Google Patents|IBM|SureChEMBL,Curation Efforts|Research and Development,NULL
19,70793656,-9.1,-7.7,-7.4,"N-(3-fluorophenyl)-2-[4-(2-methylphenyl)piperazin-1-yl]-5-oxo-6,7-dihydrothieno[3,2-d]pyrimidin-4-amine",SCHEMBL12887232,437.5,C23H24FN5OS,80.6,633,4.3,31,1,8,4,"InChI=1S/C23H24FN5OS/c1-16-5-2-3-8-20(16)28-10-12-29(13-11-28)23-26-19-9-14-31(30)21(19)22(27-23)25-18-7-4-6-17(24)15-18/h2-8,15H,9-14H2,1H3,(H,25,26,27)",CC1=CC=CC=C1N2CCN(CC2)C3=NC4=C(C(=N3)NC5=CC(=CC=C5)F)S(=O)CC4,DTOPMBKDOQGELN-UHFFFAOYSA-N,"N-(3-fluorophenyl)-2-[4-(2-methylphenyl)piperazin-1-yl]-5-oxo-6,7-dihydrothieno[3,2-d]pyrimidin-4-amine",NULL,Classification|Patents,2,NULL,20130321,SureChEMBL,Curation Efforts|Research and Development,NULL
20,70794432,-7.4,-7.2,-7.1,"2-[3-(4-bromo-N-ethylanilino)pyrrolidin-1-yl]-N-(3-fluorophenyl)-5-oxo-6,7-dihydrothieno[3,2-d]pyrimidin-4-amine",SCHEMBL12892547,530.5,C24H25BrFN5OS,80.6,683,5.4,33,1,8,6,"InChI=1S/C24H25BrFN5OS/c1-2-31(19-8-6-16(25)7-9-19)20-10-12-30(15-20)24-28-21-11-13-33(32)22(21)23(29-24)27-18-5-3-4-17(26)14-18/h3-9,14,20H,2,10-13,15H2,1H3,(H,27,28,29)",CCN(C1CCN(C1)C2=NC3=C(C(=N2)NC4=CC(=CC=C4)F)S(=O)CC3)C5=CC=C(C=C5)Br,WJBKJGOGSGCVIT-UHFFFAOYSA-N,"2-[3-(4-bromo-N-ethylanilino)pyrrolidin-1-yl]-N-(3-fluorophenyl)-5-oxo-6,7-dihydrothieno[3,2-d]pyrimidin-4-amine",NULL,Classification|Patents,2,NULL,20130321,SureChEMBL,Curation Efforts|Research and Development,NULL
21,70794514,-7.5,-7.3,-7.2,"N-[4-[[5-ethyl-9-(4-methylphenyl)-6-oxo-7,8-dihydropyrimido[4,5-b][1,4]diazepin-2-yl]amino]-2-methylphenyl]cyclopropanecarboxamide",SCHEMBL12893661,470.6,C27H30N6O2,90.5,752,3.9,35,2,6,6,"InChI=1S/C27H30N6O2/c1-4-32-23-16-28-27(29-20-9-12-22(18(3)15-20)30-26(35)19-7-8-19)31-25(23)33(14-13-24(32)34)21-10-5-17(2)6-11-21/h5-6,9-12,15-16,19H,4,7-8,13-14H2,1-3H3,(H,30,35)(H,28,29,31)",CCN1C(=O)CCN(C2=NC(=NC=C21)NC3=CC(=C(C=C3)NC(=O)C4CC4)C)C5=CC=C(C=C5)C,IVEGLOVCOWBLCL-UHFFFAOYSA-N,"N-[4-[[5-ethyl-9-(4-methylphenyl)-6-oxo-7,8-dihydropyrimido[4,5-b][1,4]diazepin-2-yl]amino]-2-methylphenyl]cyclopropanecarboxamide",NULL,Patents,1,NULL,20130321,Google Patents|PATENTSCOPE (WIPO)|SureChEMBL,Curation Efforts|Governmental Organizations|Research and Development,NULL
22,70794545,-7.8,-7.7,-7.4,"N-[2-methyl-4-[[5-methyl-9-(4-morpholin-4-ylphenyl)-6-oxo-7,8-dihydropyrimido[4,5-b][1,4]diazepin-2-yl]amino]phenyl]cyclopropanecarboxamide",SCHEMBL12894057,527.6,C29H33N7O3,103,858,2.9,39,2,8,6,"InChI=1S/C29H33N7O3/c1-19-17-21(5-10-24(19)32-28(38)20-3-4-20)31-29-30-18-25-27(33-29)36(12-11-26(37)34(25)2)23-8-6-22(7-9-23)35-13-15-39-16-14-35/h5-10,17-18,20H,3-4,11-16H2,1-2H3,(H,32,38)(H,30,31,33)",CC1=C(C=CC(=C1)NC2=NC=C3C(=N2)N(CCC(=O)N3C)C4=CC=C(C=C4)N5CCOCC5)NC(=O)C6CC6,DQIZMZJWTYWZHM-UHFFFAOYSA-N,"N-[2-methyl-4-[[5-methyl-9-(4-morpholin-4-ylphenyl)-6-oxo-7,8-dihydropyrimido[4,5-b][1,4]diazepin-2-yl]amino]phenyl]cyclopropanecarboxamide",NULL,Patents,1,NULL,20130321,Google Patents|PATENTSCOPE (WIPO)|SureChEMBL,Curation Efforts|Governmental Organizations|Research and Development,NULL
23,70797369,-7,-6.8,-6.3,2-[[5-chloro-2-[(2-methyl-6-pyrrolidin-1-ylpyridin-3-yl)amino]pyrimidin-4-yl]amino]-N-ethylbenzamide,SCHEMBL12917664,452,C23H26ClN7O,95.1,605,5.1,32,3,7,7,"InChI=1S/C23H26ClN7O/c1-3-25-22(32)16-8-4-5-9-19(16)28-21-17(24)14-26-23(30-21)29-18-10-11-20(27-15(18)2)31-12-6-7-13-31/h4-5,8-11,14H,3,6-7,12-13H2,1-2H3,(H,25,32)(H2,26,28,29,30)",CCNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(N=C(C=C3)N4CCCC4)C,JXRCBFDPFDWXRG-UHFFFAOYSA-N,2-[[5-chloro-2-[(2-methyl-6-pyrrolidin-1-ylpyridin-3-yl)amino]pyrimidin-4-yl]amino]-N-ethylbenzamide,NULL,Patents,1,NULL,20130321,PATENTSCOPE (WIPO)|SureChEMBL,Curation Efforts|Governmental Organizations|Research and Development,NULL
24,70797499,-7.1,-6.9,-6.8,"5-chloro-2-N-(2-methyl-6-pyrrolidin-1-ylpyridin-3-yl)-4-N-(2-propan-2-ylsulfonylphenyl)pyrimidine-2,4-diamine",SCHEMBL12917992,487,C23H27ClN6O2S,109,729,5.4,33,2,8,7,"InChI=1S/C23H27ClN6O2S/c1-15(2)33(31,32)20-9-5-4-8-19(20)27-22-17(24)14-25-23(29-22)28-18-10-11-21(26-16(18)3)30-12-6-7-13-30/h4-5,8-11,14-15H,6-7,12-13H2,1-3H3,(H2,25,27,28,29)",CC1=C(C=CC(=N1)N2CCCC2)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl,KALANEWSIOKRMX-UHFFFAOYSA-N,"5-chloro-2-N-(2-methyl-6-pyrrolidin-1-ylpyridin-3-yl)-4-N-(2-propan-2-ylsulfonylphenyl)pyrimidine-2,4-diamine",NULL,Patents,1,NULL,20130321,SureChEMBL,Curation Efforts|Research and Development,NULL
25,70797578,-7.2,-6.6,-6.4,"2-[[5-chloro-2-[(2-methyl-6-pyrrolidin-1-ylpyridin-3-yl)amino]pyrimidin-4-yl]amino]-N,N-dimethylbenzenesulfonamide",SCHEMBL12918418,488,C22H26ClN7O2S,112,731,4.6,33,2,9,7,"InChI=1S/C22H26ClN7O2S/c1-15-17(10-11-20(25-15)30-12-6-7-13-30)27-22-24-14-16(23)21(28-22)26-18-8-4-5-9-19(18)33(31,32)29(2)3/h4-5,8-11,14H,6-7,12-13H2,1-3H3,(H2,24,26,27,28)",CC1=C(C=CC(=N1)N2CCCC2)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)N(C)C)Cl,XKBOXJJIZOFCEU-UHFFFAOYSA-N,"2-[[5-chloro-2-[(2-methyl-6-pyrrolidin-1-ylpyridin-3-yl)amino]pyrimidin-4-yl]amino]-N,N-dimethylbenzenesulfonamide",NULL,Patents,1,NULL,20130321,SureChEMBL,Curation Efforts|Research and Development,NULL
26,70799897,-7.2,-7.2,-7.1,"5-amino-N-[1-[7-(3,4-dimethoxyanilino)-[1,3]thiazolo[5,4-d]pyrimidin-5-yl]pyrrolidin-3-yl]pyridine-2-carboxamide",SCHEMBL12937781,492.6,C23H24N8O3S,169,722,3,35,3,11,7,"InChI=1S/C23H24N8O3S/c1-33-17-6-4-14(9-18(17)34-2)27-20-19-22(35-12-26-19)30-23(29-20)31-8-7-15(11-31)28-21(32)16-5-3-13(24)10-25-16/h3-6,9-10,12,15H,7-8,11,24H2,1-2H3,(H,28,32)(H,27,29,30)",COC1=C(C=C(C=C1)NC2=C3C(=NC(=N2)N4CCC(C4)NC(=O)C5=NC=C(C=C5)N)SC=N3)OC,CTBBRTPJSLHIMW-UHFFFAOYSA-N,"5-amino-N-[1-[7-(3,4-dimethoxyanilino)-[1,3]thiazolo[5,4-d]pyrimidin-5-yl]pyrrolidin-3-yl]pyridine-2-carboxamide",NULL,Patents,1,NULL,20130321,Google Patents|IBM|PATENTSCOPE (WIPO)|SureChEMBL,Curation Efforts|Governmental Organizations|Research and Development,NULL
27,70804596,-9.7,-8.7,-8.7,"N-(3-fluorophenyl)-5-oxo-2-[4-(3-thiophen-2-yl-1H-pyrazol-5-yl)piperidin-1-yl]-6,7-dihydrothieno[3,2-d]pyrimidin-4-amine",SCHEMBL12948365,494.6,C24H23FN6OS2,134,728,4.3,34,2,9,5,"InChI=1S/C24H23FN6OS2/c25-16-3-1-4-17(13-16)26-23-22-18(8-12-34(22)32)27-24(28-23)31-9-6-15(7-10-31)19-14-20(30-29-19)21-5-2-11-33-21/h1-5,11,13-15H,6-10,12H2,(H,29,30)(H,26,27,28)",C1CN(CCC1C2=CC(=NN2)C3=CC=CS3)C4=NC5=C(C(=N4)NC6=CC(=CC=C6)F)S(=O)CC5,ARWKHFGHDOUTHB-UHFFFAOYSA-N,"N-(3-fluorophenyl)-5-oxo-2-[4-(3-thiophen-2-yl-1H-pyrazol-5-yl)piperidin-1-yl]-6,7-dihydrothieno[3,2-d]pyrimidin-4-amine",NULL,Classification|Patents,2,NULL,20130321,SureChEMBL,Curation Efforts|Research and Development,NULL
